,TEMPERATURE[degC],HUMIDITY[%],WIND_SPEED[m1s],WIND_DIR[deg],GHI[kW1m2],POA Irr[kW1m2],P_Gaia[kW],P_Solar[kW],Pressure[mbar],PR_A,Pac,Pdc,TempModule,TempCell,P/Pac
2019-05-29 08:00:00,10.595500000000008,0.5736111111111089,5.161444444444444,298.4252777777778,0.7414388888888889,0.5532186111111109,5.273200277777778,3.780905555555556,1016.205279812283,0.9502078680446258,4.064042794666295,4.1427551423713505,21.376138525468182,23.03579435880152,0.9303311373880383
2019-05-29 09:00:00,11.203833333333316,0.5392777777777763,4.818444444444445,298.5447222222222,0.7796716666666664,0.673986388888889,5.085847499999999,4.4549525,1017.0403623962402,0.9200772471839899,4.8561277410053405,4.950181183491683,24.546157563214177,26.568116729880842,0.9173878319514126
2019-05-29 10:00:00,11.492277777777765,0.5205555555555549,5.674166666666667,292.99944444444446,0.7898541666666664,0.7526761111111111,0.8709933333333336,4.914297499999999,1017.7956395806206,0.9074681300616484,5.3960827495032575,5.500594036190885,25.529463244511508,27.787491577844843,0.9107157410535245
2019-05-29 11:00:00,12.119749999999996,0.5223333333333325,4.571111111111111,297.65055555555557,0.8305247222222228,0.780135555555555,0.0,5.030318055555555,1018.3406926133898,0.8962574020980995,5.496819467270985,5.603281821886835,27.8118881903324,30.152294856999067,0.9151324844315772
2019-05-29 12:00:00,12.507222222222213,0.4951666666666668,4.317611111111112,296.65277777777777,0.728271388888889,0.7504105555555555,0.0,4.885398888888889,1018.7599425082736,0.9027152800512118,5.312040328668451,5.41492388243471,27.900261266678623,30.151492933345292,0.9196840736548951
2019-05-29 13:00:00,12.89724999999999,0.473194444444445,4.101194444444444,295.77833333333336,0.6333922222222226,0.6630777777777783,0.0,4.321428055555555,1019.0948870510524,0.910286687203048,4.7175959691589835,4.808966329417924,26.693512425277287,28.682745758610622,0.9160233482915124
2019-05-29 14:00:00,12.720000000000018,0.4678333333333338,4.124750000000001,291.1816666666667,0.38297444444444445,0.360232222222222,0.0,2.430896666666666,1019.3024706013997,0.9408964106443761,2.6367734017870603,2.6878424075301326,20.230127853577766,21.31082452024443,0.9219209602991056
2019-05-29 15:00:00,12.858500000000001,0.44333333333333486,3.390166666666667,296.5683333333333,0.30719027777777796,0.2731655555555554,0.0,1.9426788888888893,1019.2950002034505,0.9752101423452325,2.0308323659296907,2.0701655106316927,18.882600373168184,19.70209703983485,0.9565924403610507
2019-05-29 16:00:00,12.75158333333332,0.46502777777777865,2.5040277777777775,280.9136111111111,0.18998527777777774,0.1378347222222223,0.0,0.9505772222222224,1019.4382841830783,0.9320462618303637,1.0425279616281646,1.062719634687222,15.990983404808937,16.404487571475602,0.9118002175573896
2019-05-29 17:00:00,13.099060606060606,0.4424545454545468,2.5274545454545456,258.5012121212121,0.19903060606060607,0.09696272727272733,0.0,0.6683500000000003,1019.5708406020658,0.9298445745744401,0.7373542616391618,0.7516353329655064,15.412523237464114,15.703411419282297,0.906416406293275
2019-05-29 18:00:00,12.5,0.5,2.6246666666666676,262.16,0.09623000000000005,0.05050333333333355,0.0,0.27952000000000016,1019.6799926757812,0.7687061360086215,0.3880520718347286,0.3955678611974807,13.679616446976253,13.831126446976253,0.7203157006182607
2019-05-30 04:00:00,9.63450000000001,0.6999999999999967,5.884166666666668,165.64833333333334,0.18593000000000007,0.0602011111111111,0.0,0.343952777777778,1018.833341471354,0.7882950282165385,0.4684349276188189,0.47750757147687956,10.734836206067305,10.915439539400637,0.7342594616635074
2019-05-30 05:00:00,11.506972222222245,0.6656388888888853,6.098583333333333,168.43805555555556,0.22842000000000007,0.08757083333333339,0.0,0.5592758333333333,1018.4418333265517,0.8817592185494004,0.674159462797726,0.6872165777754597,13.083209989416476,13.345922489416475,0.8295898288104839
2019-05-30 06:00:00,12.200533333333306,0.6047999999999967,5.329366666666665,170.94633333333334,0.10487899999999997,0.06797433333333325,0.0,0.41892666666666656,1017.9451660766601,0.8511570354738787,0.5224834523671155,0.5326029076117386,13.500541462631508,13.704464462631506,0.8017989177814454
2019-05-30 07:00:00,13.023277777777798,0.6000555555555522,5.588277777777777,166.35999999999999,0.18664472222222217,0.11737750000000008,0.0,0.7931605555555556,1017.6158541870118,0.9336386551351149,0.8943485705101204,0.911670306330398,15.210140597113925,15.562273097113925,0.8868584148383567
2019-05-30 08:00:00,13.250638888888922,0.5999999999999966,5.846277777777779,167.44972222222222,0.19486027777777795,0.12765500000000005,0.0,0.8715566666666666,1017.2301644219292,0.9454852409342305,0.9711296265430339,0.9899384572304117,15.594970004091303,15.977935004091306,0.8974668703797857
2019-05-30 09:00:00,14.063749999999992,0.5999999999999966,5.985916666666665,177.13583333333335,0.33146444444444456,0.23367444444444443,0.0,1.6630344444444447,1016.8692555067273,0.9867003074419517,1.751797871424726,1.7857266783126668,18.29330869021704,18.99433202355037,0.9493300977080817
2019-05-30 10:00:00,15.02269444444444,0.6050555555555522,7.023694444444445,184.2461111111111,0.3405688888888889,0.2285211111111113,0.0,1.6123422222222217,1016.3835010104712,0.9777650418815145,1.709271065017093,1.7423762130653344,18.85805050050153,19.543613833834865,0.9432922929670596
2019-05-30 11:00:00,14.201750000000004,0.7166111111111109,7.912277777777778,188.67499999999998,0.2318469444444445,0.15692027777777776,0.0,1.0898413888888887,1015.7784446546767,0.9635828696500286,1.1876782608044463,1.2106812036742571,16.67513161239131,17.145892445724645,0.9176234211365543
2019-05-30 12:00:00,13.513388888888903,0.8294166666666704,7.301472222222221,190.36749999999998,0.2573697222222224,0.17025111111111121,0.0,1.1870583333333333,1015.487585873074,0.9487900866013844,1.285397460178227,1.3102930277046148,16.284697086202396,16.79545041953573,0.923495160141939
2019-05-30 13:00:00,13.060555555555515,0.9000000000000027,6.124027777777777,191.9386111111111,0.14412583333333343,0.0912497222222222,0.0,0.5965275,1015.2533926561142,0.8976542422169588,0.69720991564007,0.7107134716004789,14.6976364396938,14.971385606360466,0.8555923927908584
2019-05-30 14:00:00,13.308305555555572,0.9000000000000027,5.829555555555555,199.32416666666666,0.12125722222222222,0.07662249999999998,0.0,0.4865744444444446,1015.0592533535428,0.8730083178821019,0.5855755229703276,0.5969169449238814,14.716295606175814,14.946163106175815,0.8309337145383046
2019-05-30 15:00:00,13.78108333333335,0.9000000000000027,6.4805,206.83416666666665,0.09181666666666663,0.054780833333333355,0.0,0.31698083333333343,1014.6477368672691,0.8013809288269039,0.41888619404827954,0.42699917843861324,14.737195199300057,14.901537699300057,0.7567230379925083
2019-05-31 04:00:00,13.480166666666682,1.0,3.0467777777777787,290.1461111111111,0.0947300000000001,0.05995666666666675,0.0,0.3572250000000003,1014.7549421861437,0.8234803464417203,0.4581511646105319,0.46702463263051164,14.839177038604968,15.019047038604969,0.7797099027428478
2019-05-31 06:00:00,11.963833333333346,0.9308888888888904,2.955388888888889,267.65333333333336,0.1199433333333334,0.07345166666666658,0.0,0.470866666666667,1015.448168097602,0.8802141145347369,0.5641458835295691,0.5750722564011918,13.639929330528581,13.86028433052858,0.8346540857848642
