,RF_Global,RF_Faixa1,RF_Faixa2,RF_Faixa3
2019-05-26 10:00:00,0.9634725676480922,0.9668135496254412,,
2019-05-26 11:00:00,1.2114986928572096,1.216280283531122,,
2019-05-26 12:00:00,2.4106316286783542,,2.4134613287634545,
2019-05-26 13:00:00,2.0810854332818622,,2.0389193745642573,
2019-05-26 14:00:00,1.2796974287130092,1.2803114847998065,,
2019-05-26 15:00:00,0.5712984614458952,0.5730437903216992,,
2019-05-26 16:00:00,0.4441228317719111,0.4600804580815618,,
2019-05-27 06:00:00,0.8361408507002,0.8388528976918189,,
2019-05-27 07:00:00,1.0962088886880839,1.0949364268334767,,
2019-05-27 08:00:00,1.3862857402953752,1.3866455010615533,,
2019-05-27 09:00:00,3.0170870511042245,,3.0323567753223046,
2019-05-27 10:00:00,2.764796051574365,,2.7504775405112842,
2019-05-27 11:00:00,2.5625541562352043,,2.5666353129008836,
2019-05-27 12:00:00,1.89417211394546,,1.9111374272943806,
2019-05-27 13:00:00,1.6363582908233887,1.6403226999999998,,
2019-05-27 14:00:00,2.2088250353548236,,2.205507164380011,
2019-05-27 15:00:00,1.7779270769842315,1.78677628213031,,
2019-05-27 16:00:00,1.2647871340684722,1.2722062795735227,,
2019-05-27 17:00:00,0.6609811458071775,0.6572289397899858,,
2019-05-27 18:00:00,0.4364341506667295,0.44214807390790467,,
2019-05-28 05:00:00,0.35046978153406455,0.35112278851851836,,
2019-05-28 06:00:00,0.6548107029011168,0.6595756790810592,,
2019-05-28 07:00:00,1.6282122585178613,1.6205145848323994,,
2019-05-28 08:00:00,2.4707888596401166,,2.466468105681768,
2019-05-28 09:00:00,1.8026933661614482,1.8514245473787267,,
2019-05-28 10:00:00,2.591822239529187,,2.6084775889724807,
2019-05-28 11:00:00,2.6683313205969346,,2.6730589887305682,
2019-05-28 12:00:00,4.2209121736350905,,,4.312070952611806
2019-05-28 13:00:00,3.71433925308025,,,3.719113945891271
2019-05-28 14:00:00,2.747609572831974,,2.7318456949581233,
2019-05-28 15:00:00,2.6242925475085563,,2.610038114233455,
2019-05-28 16:00:00,1.6767514657811355,1.6715634185999777,,
2019-05-28 17:00:00,0.5492702924691709,0.5499299604033311,,
2019-05-29 04:00:00,0.3331544877435382,0.3307655828441101,,
2019-05-29 05:00:00,0.4406659948811892,0.4501617725606859,,
2019-05-29 06:00:00,1.1740595399544973,1.1564536727169639,,
2019-05-29 07:00:00,1.954390005219774,,1.9711435289868782,
2019-05-29 08:00:00,3.722828917340759,,,3.890193158401135
2019-05-29 09:00:00,4.619701438888892,,,4.767200179065257
2019-05-29 10:00:00,5.032763856893024,,,5.106879859663767
2019-05-29 11:00:00,5.036078170997843,,,5.2515025515534
2019-05-29 12:00:00,5.274019774336754,,,5.327942521881487
2019-05-29 13:00:00,4.630806574102537,,,4.6385509665206435
2019-05-29 14:00:00,2.54278186331652,,2.564466614991594,
2019-05-29 15:00:00,1.989781704787359,,1.9895498370206,
2019-05-29 16:00:00,0.9534652900908414,0.9508166827978844,,
2019-05-29 17:00:00,0.6985979563161274,0.6981126319497827,,
2019-05-29 18:00:00,0.2973027246935544,0.30194863112451675,,
2019-05-30 04:00:00,0.3751579191420721,0.3765930061587095,,
2019-05-30 05:00:00,0.6647020824766201,0.6630080503049031,,
2019-05-30 06:00:00,0.4485310485446636,0.44822333550664717,,
2019-05-30 07:00:00,0.8498713555467988,0.849521531036832,,
2019-05-30 08:00:00,0.8699217829813587,0.8585114996056915,,
2019-05-30 09:00:00,1.6653520263047366,1.6676517493050822,,
2019-05-30 10:00:00,1.640465176137804,1.6504827203933758,,
2019-05-30 11:00:00,1.138793906019832,1.1421162153281517,,
2019-05-30 12:00:00,1.2402676599999993,1.2490868715079362,,
