,TEMPERATURE[degC],HUMIDITY[%],POA Irr[kW1m2],Pac,TempModule,TempCell,GHI[kW1m2],P_Solar[kW],P/Pac
2018-09-22 07:00:00,12.614361111111094,0.7000277777777746,0.3532144444444445,2.6353541581153306,18.768528785236917,19.828172118570247,0.293824722222222,2.501484722222223,0.9492024874604162
2018-09-22 08:00:00,13.800638888888882,0.6502777777777744,0.5313061111111111,3.887557243353772,22.705096052783208,24.299014386116543,0.4040950000000001,3.829401666666668,0.9850405864025468
2018-09-22 09:00:00,13.37569999999999,0.6589333333333312,0.3793613333333332,2.808741602617791,19.650673358853552,20.78875735885355,0.328426,2.786765666666667,0.9921758783610988
2018-09-22 10:00:00,12.714666666666664,0.7873000000000014,0.717452666666667,5.117780236131571,26.41765244794238,28.570010447942384,0.4723253333333332,5.039367333333333,0.9846783372516384
2018-09-22 11:00:00,12.4396111111111,0.7781388888888912,0.698253888888889,4.9765037805434025,25.034908076387016,27.12966974305368,0.4440808333333335,4.957265000000002,0.9961340769761658
2018-09-22 12:00:00,14.256361111111143,0.6130833333333304,0.8424697222222218,5.998987077761064,27.331179608705643,29.85858877537231,0.4770183333333337,5.960589444444444,0.9935993138810109
2018-09-22 13:00:00,13.797666666666672,0.6201666666666638,0.4471766666666667,3.2652742433762323,21.287613978209368,22.629143978209367,0.2875525,3.3381666189261847,1.0223235079558228
2018-09-22 14:00:00,13.292555555555568,0.6411666666666634,0.5130738888888887,3.756863822107013,21.665214107181853,23.20443577384852,0.2531363888888887,3.4755387212143223,0.9251170353215221
2018-09-22 15:00:00,13.831944444444431,0.5999999999999966,0.3711819444444446,2.7528605881071857,20.069721410454736,21.18326724378807,0.1598297222222224,2.4315715866035563,0.8832890401745548
2018-09-22 16:00:00,13.03851851851853,0.6158148148148114,0.1394751851851851,1.058013021450492,15.657659587574932,16.076085143130488,0.0471703703703704,0.8630621758821532,0.8157387086776406
2018-09-23 05:00:00,9.252666666666714,0.9000000000000027,0.0571966666666664,0.4457153526961806,10.498208473708411,10.669798473708411,0.0845733333333333,0.3230566666666664,0.7248048888432078
2018-09-23 06:00:00,10.120750000000006,0.8474166666666704,0.140738611111111,1.0797805172676804,13.06744822145891,13.489664054792245,0.1567961111111112,0.8800994444444444,0.8150725359182096
2018-09-23 07:00:00,11.797083333333331,0.7970555555555591,0.3384447222222221,2.5282315247463725,18.7179779181692,19.733312084835863,0.2968830555555555,2.395278611111111,0.9474126826068276
2018-09-23 08:00:00,12.521750000000033,0.6721944444444413,0.4220713888888889,3.11946710731412,19.915111701436548,21.18132586810321,0.3316802777777776,3.042236111111112,0.9752422469780408
2018-09-23 09:00:00,12.73941666666664,0.6232777777777745,0.4894680555555554,3.6068504284376472,20.829378404384496,22.29778257105116,0.363383611111111,3.507772777777778,0.9725307016119362
2018-09-23 10:00:00,13.185416666666676,0.5987499999999967,0.7436627777777775,5.318151074061423,26.064717312066048,28.29570564539938,0.5165683333333334,5.251532777777777,0.9874734103345488
2018-09-23 11:00:00,13.495111111111116,0.5999999999999966,0.8518647222222221,6.04686720495011,27.909680293052087,30.465274459718756,0.50977,5.925915000000001,0.9799975423883801
2018-09-23 12:00:00,13.15583333333332,0.6118888888888857,0.5083149999999997,3.676310733218699,21.926225760574365,23.451170760574367,0.3240475,3.641053055555557,0.9904094946750398
2018-09-23 13:00:00,12.913277777777834,0.6019999999999966,0.1674744444444444,1.2713724750471267,15.94549030202154,16.447913635354872,0.2115383333333335,1.2613938888888891,0.9921513275188157
2018-09-23 14:00:00,12.655583333333317,0.61533333333333,0.1246547222222222,0.950645439174207,14.97176885508025,15.345733021746916,0.1608925,0.8901919444444443,0.9364079474443421
2018-09-23 15:00:00,12.076592592592553,0.6738518518518488,0.0681574074074074,0.5241290449197573,13.418025556401483,13.622497778623703,0.0968718518518519,0.4496125925925925,0.8578280424459723
2018-09-23 16:00:00,11.964166666666694,0.6999999999999967,0.0544450000000001,0.4196111655695195,12.987865631213818,13.151200631213818,0.0438999999999999,0.2959266666666673,0.7052402103385863
2018-09-24 07:00:00,7.983166666666675,0.8965000000000027,0.0546433333333332,0.4279439642360312,9.377879029230495,9.541809029230496,0.04843,0.3511183333333333,0.8204773584320845
2018-09-24 08:00:00,7.684499999999996,0.8000000000000042,0.1435599999999998,1.0997024129579456,11.339677624122434,11.770357624122433,0.1713308333333333,1.0788049999999996,0.9809972109620667
2018-09-24 09:00:00,9.333472222222218,0.7197777777777753,0.2251133333333333,1.7082600949817752,14.91803130330486,15.593371303304862,0.2330433333333334,1.6729005555555558,0.9793008456205865
2018-09-24 10:00:00,11.677777777777765,0.6248333333333304,0.7026574999999998,5.085011227991099,23.41354069946189,25.521513199461893,0.4884619444444444,4.991818333333333,0.9816730208687104
2018-09-24 11:00:00,12.015166666666666,0.5944166666666636,0.6068530555555555,4.389989310575639,21.883086690954773,23.70364585762144,0.4189177777777779,4.283655833333334,0.9757781922187957
2018-09-24 12:00:00,11.928027777777793,0.5681111111111089,0.514078333333333,3.7189598208833328,20.550792315408025,22.093027315408023,0.3316388888888888,3.685831388888889,0.9910920166955245
2018-09-24 13:00:00,11.3876388888889,0.5990277777777745,0.1334538888888888,1.009371062981235,13.75618056924686,14.156542235913529,0.1397374999999999,0.8751975,0.8670721126233343
2018-09-24 14:00:00,11.98972222222221,0.5282499999999991,0.5006047222222222,3.6903553705249528,20.32757039045,21.829384557116665,0.2870827777777777,3.095868366393411,0.8389079249982974
2018-09-24 15:00:00,11.56219444444448,0.5165833333333328,0.2449541666666664,1.8461289537374423,15.569213132879712,16.304075632879712,0.1338022222222222,1.605865,0.8698552702664493
2018-09-24 16:00:00,11.593277777777786,0.5414999999999984,0.1790966666666666,1.3635241715177393,14.518779012829972,15.05606901282997,0.1194366666666666,1.1342698591755165,0.8318663378830756
2018-09-25 06:00:00,10.090305555555563,0.648416666666664,0.1443452777777778,1.1079377288639003,12.94326198048188,13.376297813815214,0.1539563888888888,0.9307559789587566,0.8400796856274322
2018-09-25 07:00:00,10.810111111111098,0.6102222222222192,0.3788430555555556,2.8324901034659025,18.36334473824627,19.49987390491293,0.2992577777777776,2.6900744444444444,0.9497206861033001
2018-09-25 08:00:00,11.427055555555576,0.5999999999999966,0.6077772222222222,4.433697236250315,23.123762819752283,24.94709448641895,0.4346533333333331,4.348081944444445,0.9806898650846361
2018-09-25 09:00:00,11.75833333333336,0.5908055555555526,0.7794258333333325,5.566628170010223,27.096742105629986,29.43501960562998,0.5068894444444444,5.45745861111111,0.9803885663699875
2018-09-25 10:00:00,11.999944444444436,0.5905277777777748,0.9020994444444436,6.350517355182736,29.79682232037217,32.503120653705494,0.550143055555557,6.194809722222221,0.9754811105533883
2018-09-25 11:00:00,12.445027777777788,0.5147222222222217,0.949742777777778,6.582712134956172,32.8111874364109,35.660415769744226,0.5464800000000011,6.472519999999999,0.9832603746454261
2018-09-25 12:00:00,12.81630555555556,0.5069999999999997,0.8777524999999996,6.120135534839091,31.718942516913767,34.35220001691376,0.4842230555555553,6.023168055555556,0.984155991524772
2018-09-25 13:00:00,12.751944444444428,0.5686666666666644,0.594926111111111,4.297342787634006,23.90796129130437,25.692739624637703,0.3165088888888889,5.136457222222222,1.1952635561219003
2018-09-25 14:00:00,12.927333333333344,0.5774999999999973,0.5927022222222224,4.292943785656061,24.63887914178124,26.416985808447908,0.2711863888888888,4.222847284606396,0.9836716937026109
2018-09-25 15:00:00,12.898333333333335,0.5999999999999966,0.310263611111111,2.296546910828998,19.46979355108049,20.400584384413825,0.135846388888889,2.104999444444444,0.916593270757352
2018-09-25 16:00:00,12.358833333333378,0.5999999999999966,0.0724916666666665,0.5560959237550689,13.916359009668753,14.13383400966875,0.0587349999999999,0.4516283333333333,0.8121410606351647
2018-09-26 07:00:00,12.588481481481445,0.6999999999999967,0.082617037037037,0.6331155617389272,13.97161157356009,14.2194626846712,0.1200092592592591,0.5580333333333332,0.8814083353134271
2018-09-26 08:00:00,12.662499999999923,0.8000000000000042,0.0553,0.425066645377717,13.582510275208762,13.74841027520876,0.0840066666666666,0.3457633333333335,0.8134332276908858
2018-09-26 09:00:00,12.974444444444428,0.799388888888893,0.0752108333333333,0.5763110773962237,14.162605327221424,14.388237827221424,0.1204325,0.5063680555555555,0.8786366867062992
2018-09-26 10:00:00,13.7345,0.7998611111111152,0.1097791666666666,0.8351801639328468,15.618315562583126,15.947653062583123,0.1646544444444444,0.7789305555555556,0.9326497313915924
2018-09-26 11:00:00,14.517407407407442,0.8000000000000042,0.0794314814814814,0.6041384002918115,15.780522444555878,16.01881688900032,0.127331851851852,0.535861851851852,0.8869852530364225
2018-09-26 12:00:00,15.042000000000051,0.769055555555557,0.0613716666666666,0.4667888621365254,15.891087019799338,16.075202019799338,0.0994561111111112,0.3957305555555558,0.8477720606791458
2018-09-26 13:00:00,15.280333333333358,0.8000000000000042,0.0684322222222222,0.5195170496340299,16.235876425481877,16.441173092148542,0.1052377777777778,0.4485877777777778,0.8634707524878775
2018-09-27 06:00:00,13.448952380952372,0.9000000000000027,0.0930176190476189,0.7078383258272617,15.338537457950524,15.617590315093382,0.1083338095238095,0.5982275795060765,0.8451472005375219
2018-09-27 07:00:00,14.300099999999995,0.9000000000000027,0.1185193333333332,0.8892760602921671,16.681266409166135,17.036824409166137,0.1351936666666667,0.806935,0.9074066378610097
2018-09-27 08:00:00,15.405212121212127,0.8252121212121253,0.1803875757575758,1.343879734586299,18.99866537944295,19.53982810671568,0.2134654545454545,1.2938993939393937,0.9628089185656994
2018-09-27 09:00:00,16.8501388888889,0.8000000000000042,0.3775722222222221,2.7439317419388907,23.586501852249167,24.719218518915834,0.3204047222222221,2.6933919444444445,0.9815812482788897
2018-09-27 10:00:00,17.765499999999992,0.8000000000000042,0.4152808333333332,2.9831459408191634,25.176599714004784,26.422442214004786,0.3152338888888888,2.927138888888889,0.9812255072191021
2018-09-27 11:00:00,17.78838888888891,0.8000000000000042,0.1544822222222222,1.149375672606801,20.379335479624448,20.842782146291118,0.2132563888888889,1.1047952777777776,0.9612133822809088
2018-09-27 12:00:00,18.269361111111103,0.7789722222222247,0.2153330555555556,1.579636068263122,21.773986304465733,22.4199854711324,0.2189583333333334,1.5338363888888884,0.9710061828199502
2018-09-27 13:00:00,18.069925925925936,0.7994074074074116,0.1597625925925925,1.1840280588276788,20.589905012533908,21.06919279031169,0.1836081481481482,1.151391111111111,0.9724356636033761
2018-09-27 14:00:00,18.18072222222224,0.7916944444444484,0.1536322222222222,1.1349620796963424,20.678982932632945,21.13987959929961,0.1649005555555557,1.0509269444444445,0.925957759510008
2018-09-27 15:00:00,17.634074074074082,0.8000000000000042,0.0628433333333333,0.4718599861174074,18.707426696162376,18.89595669616237,0.0810396296296295,0.390868888888889,0.8283577764350496
2018-09-28 06:00:00,10.7069333333333,0.6999999999999967,0.0832286666666666,0.6437087303178828,12.041670745808238,12.29135674580824,0.0867986666666667,0.5155986666666668,0.800981317143312
2018-09-28 07:00:00,11.073055555555545,0.6999999999999967,0.1869125,1.4286455669106044,14.190028198333536,14.750765698333538,0.1771766666666666,1.319417777777778,0.9235445154048757
2018-09-28 08:00:00,11.459416666666682,0.6789999999999968,0.2535486111111111,1.9144171014649352,15.882313880382286,16.64295971371562,0.2290000000000001,1.82991324934926,0.9558592262621287
2018-09-28 09:00:00,11.936222222222224,0.623472222222219,0.4860352777777777,3.555141694662048,20.512627671026426,21.97073350435976,0.3516275,3.507190833333334,0.986512250299134
2018-09-28 10:00:00,12.007305555555568,0.6137499999999967,0.4797011111111112,3.526434385344749,20.43540798070818,21.874511314041516,0.343912222222222,3.431054722222221,0.9729529454684003
2018-09-28 11:00:00,12.575666666666658,0.5953055555555525,0.909791944444445,6.43007726875913,28.52679040137582,31.256166234709152,0.5916655555555558,6.34416138888889,0.986638437412305
2018-09-28 12:00:00,12.799916666666643,0.5585833333333312,0.8863322222222223,6.25086029840604,29.007583733846115,31.666580400512785,0.5270438888888888,6.238131388888888,0.9979636547755839
2018-09-28 13:00:00,12.571694444444432,0.5783333333333308,0.4869597222222222,3.547427358406184,21.52871268824336,22.98959185491002,0.2720469444444445,4.010814444444446,1.1306262367685114
2018-09-28 14:00:00,12.796694444444457,0.5509444444444428,0.4640677777777776,3.3760413615665468,21.89889431543806,23.2910976487714,0.2278205555555554,2.8419378392106247,0.841795918605663
2018-09-28 15:00:00,12.704638888888876,0.527999999999999,0.2703588888888888,2.027101872387403,17.76981614386817,18.580892810534834,0.1301652777777777,1.7532575,0.8649084310376148
2018-09-28 16:00:00,12.335066666666652,0.5999999999999966,0.1071319999999999,0.8201513353715205,14.172429501968333,14.493825501968333,0.0480706666666666,0.6603869930989068,0.8052013873753653
2018-09-29 06:00:00,8.269185185185187,0.9000000000000027,0.0771996296296296,0.6026860781628635,9.988626319072226,10.220225207961114,0.0942711111111111,0.4785451851851851,0.7940206394743834
2018-09-29 07:00:00,9.31994444444444,0.8401111111111149,0.1163955555555555,0.900179320657197,11.872674853048592,12.221861519715256,0.16109,0.8367236111111113,0.9295077013102696
2018-09-29 08:00:00,10.375000000000004,0.8000000000000042,0.1739738888888889,1.3234707770182144,14.030168015812608,14.552089682479275,0.1935900000000002,1.2713866666666669,0.9606458176062692
2018-09-29 09:00:00,11.354972222222235,0.7885555555555587,0.3030419444444444,2.2679172734108177,17.682789386086526,18.591915219419857,0.2806330555555557,2.247896388888889,0.9911721275036551
